date;customer_id;customer_gender;customer_age;check_no;chain;store_code;store_name;product_code;category_1;category_2;category_3;qty;sale
24.10.2021;70478;Woman;40;177911;A;8;Name 8;13006;Medication;1;27;0,15;9,75
13.09.2021;87806;Woman;41;40144;A;0;Name 0;8593;NonMedication;4;56;0,032;133,65
20.11.2021;61579;Woman;28;271220;B;7;Name 7;11705;NonMedication;12;172;1;2 784,38
21.11.2021;102389;Woman;48;279977;B;5;Name 5;10068;NonMedication;3;49;1;1 386,00
22.10.2021;3396;Woman;40;170982;A;3;Name 3;6395;NonMedication;13;183;10;371,25
22.11.2021;94549;Woman;37;283587;A;3;Name 3;2955;Medication;0;2;0,5;20,47
13.09.2021;76199;Man;68;39304;A;4;Name 4;8981;Medication;0;2;1;89,33
10.10.2021;90572;Man;41;126757;A;0;Name 0;890;Medication;1;27;1;1,72
09.11.2021;60896;Woman;31;234652;A;2;Name 2;5129;Medication;1;38;2;230,76
28.11.2021;84913;Man;33;306415;B;7;Name 7;228;Medication;0;6;0,429;53,22
25.10.2021;127196;Man;91;178735;A;1;Name 1;6022;Medication;1;27;0,2;7,32
16.11.2021;75426;Man;57;256287;A;4;Name 4;5168;Medication;1;33;1;28,5
05.09.2021;46016;Man;32;15257;A;3;Name 3;1497;Medication;0;6;4;111,08
07.09.2021;92695;Woman;32;20400;A;0;Name 0;4180;NonMedication;13;187;5;1 871,10
16.09.2021;32959;Woman;24;51106;A;3;Name 3;917;Medication;1;18;0,1;3,84
21.10.2021;20049;Woman;31;164782;B;7;Name 7;3371;Medication;1;21;1;90,52
08.11.2021;118748;Woman;44;228194;A;4;Name 4;1771;Medication;0;11;0,5;2,37
28.09.2021;61516;Woman;50;86318;B;7;Name 7;8019;Medication;1;18;1;38,12
05.11.2021;8914;Woman;73;220350;B;5;Name 5;4679;Medication;1;35;0,5;40,2
14.09.2021;89119;Man;36;44876;A;3;Name 3;2819;Medication;1;33;0,5;11,38
30.09.2021;89969;Woman;45;94168;A;0;Name 0;2124;Medication;0;15;0,4;2,1
28.10.2021;61483;Man;54;189143;B;7;Name 7;15152;Medication;0;2;0,333;18,74
26.11.2021;49670;Woman;23;301498;B;7;Name 7;11700;NonMedication;12;173;1;2 165,63
09.11.2021;22051;Woman;55;231708;A;0;Name 0;4099;NonMedication;8;126;1;1 277,10
27.11.2021;63943;Man;42;304941;A;2;Name 2;5244;NonMedication;12;172;1;465,92
